WARNING: 2 open meshes merged
     Merged: MainWing
     Merged: HorzTail
...Mass Properties...
26 Num Comps
26 Total Num Meshes
59520 Total Num Tris

4.179200461819400e+02             Total Mass
1.003442428325704e+01 2.506759137266815e-03 -6.437741754150651e-01       Center of Gravity
6.871372097202200e+03 1.478374399753322e+04 1.856556455045331e+04       Ixx, Iyy, Izz
-7.846540916311837e-01 6.485539683206687e+01 4.697867326055959e+00       Ixy, Ixz, Iyz
4.182721826893976e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-5.506010391260252e-01	6.669269811669775e-01	-5.506010391260248e-01	-9.509433962267137e-03	-1.205591823144303e-02	5.140748078314717e-01	1.429728207385119e-01	3.962282499547683e-01	-1.534158212538263e-03	-2.335792577341833e-04	2.929445019724967e-03	6.748658463375847e-01
-2.499031173780755e-01	1.335302312334769e+00	-4.000890006361483e-01	-9.874654810462938e-03	-1.203108682038716e-02	1.028320010056626e+00	3.161616392091888e-01	8.228339018975015e-01	-3.140792164132378e-03	-4.628432443403547e-04	5.848540919780681e-03	1.414690964040841e+00
5.079480436987410e-02	2.099761189033788e+00	-2.359359869997309e-01	-5.748877494544416e-03	-8.796966979829852e-03	1.682882444578979e+00	5.765847709073583e-01	1.443435909015180e+00	-1.694120938005413e-03	1.312012426404590e-03	8.139911116360752e-03	2.451897696491392e+00
3.514927261178237e-01	3.378556488424413e+00	-1.359219028193843e-02	-2.138219355898212e-03	-4.191324603746221e-03	3.156253527199315e+00	1.300752341808679e+00	2.789321993600435e+00	8.346200014232848e-04	6.675248786415989e-03	1.124750013676568e-02	3.730692995882017e+00
6.521906478657733e-01	5.137152238126935e+00	2.143245260461636e-01	-4.626921304553387e-04	-1.917351008521363e-03	5.629247998836324e+00	2.656619355718756e+00	4.998048842375089e+00	1.229648634827832e-03	1.125324406032217e-02	1.475758776881361e-02	5.489288745584539e+00
9.528885696137228e-01	7.332784291848164e+00	4.354703859599219e-01	3.368781833972760e-04	-7.553503408628132e-04	9.230482797415437e+00	4.805100816827256e+00	8.211627981962572e+00	3.552620259886813e-04	1.503985981936145e-02	1.916281786218685e-02	7.684920799305768e+00
1.253586491361673e+00	1.030328154021889e+01	6.713381170762057e-01	2.397542027599318e-04	-5.375783523626609e-04	1.422040143193811e+01	8.159893022861974e+00	1.278864050685675e+01	-3.899220012316971e-03	1.567408144189860e-02	2.646342600349563e-02	1.065541804767649e+01
1.554284413109622e+00	1.363934208682397e+01	8.872988492154512e-01	1.811124785756570e-04	-4.060915166625284e-04	2.048834485668826e+01	1.262610007356983e+01	1.864535697303388e+01	-9.527880501035865e-03	1.598274056648769e-02	3.432442269565728e-02	1.399147859428158e+01
1.854982334857572e+00	1.755365869093656e+01	1.103084036911394e+00	4.730715996445898e-04	5.618854376895248e-02	3.205204938425394e+01	2.255113467681824e+01	2.612760765926212e+01	-1.168717056080223e-02	7.619404287563062e-01	6.616046013786460e-02	1.790579519839416e+01
2.155680256605522e+00	2.206919950727578e+01	1.318453932479460e+00	9.707868912332211e-04	1.457680563223387e-01	4.970314649123027e+01	3.897932594664827e+01	3.547937748013918e+01	-9.637614353512991e-03	2.415906543871066e+00	1.263255145939965e-01	2.242133601473339e+01
2.456378178353471e+00	2.683857888634179e+01	1.520670020603724e+00	1.311799773035331e-03	2.071720979207005e-01	6.869875458389542e+01	5.730610079427883e+01	4.648443205012784e+01	-8.287928398608729e-03	3.956788408355818e+00	1.883434053250178e-01	2.719071539379940e+01
2.757076100101421e+00	3.165251426278111e+01	1.708711290132092e+00	1.430656077925302e-03	2.297912382813197e-01	8.632848773096914e+01	7.491623215704439e+01	5.916508792033355e+01	-1.163791825457757e-02	4.706089585589744e+00	2.367718914363915e-01	3.200465077023872e+01
3.057774021849370e+00	3.667204080566661e+01	1.893365758252826e+00	1.484912339337302e-03	2.513652422991651e-01	1.046418877252695e+02	9.463874331575909e+01	7.371503068065014e+01	-1.635389800183890e-02	5.626068128614599e+00	2.826270380389019e-01	3.702417731312422e+01
3.358471943597320e+00	4.178693355412847e+01	2.072700788745970e+00	1.525718135598547e-03	2.673707477553417e-01	1.234547802115687e+02	1.164081695801669e+02	9.022197950004687e+01	-2.119412684228870e-02	6.484760231119139e+00	3.294735862244766e-01	4.213907006158608e+01
3.659169865345270e+00	4.700220168357774e+01	2.248732151473285e+00	1.630222073530136e-03	2.810572174272978e-01	1.441791308724053e+02	1.419201155859672e+02	1.089704006488726e+02	-2.234195258254848e-02	7.390709648964220e+00	3.896422528998724e-01	4.735433819103535e+01
3.959867787093220e+00	5.239899425656673e+01	2.424969199926408e+00	1.727741968724492e-03	2.914740965879037e-01	1.661870611512048e+02	1.709712333220115e+02	1.304790199756581e+02	-2.274584583991969e-02	8.227063170703412e+00	4.539558112373110e-01	5.275113076402434e+01
4.260565708841169e+00	5.746916460933895e+01	2.586913210465216e+00	1.804244278986499e-03	2.797805187426674e-01	1.862009824501696e+02	1.990095720074933e+02	1.537982742778995e+02	-2.471378265375907e-02	7.100805907149037e+00	4.974735311720295e-01	5.782130111679655e+01
4.561263630589119e+00	6.246002079904370e+01	2.744673308666655e+00	1.739746822320621e-03	2.426153341807140e-01	2.029655775464288e+02	2.256691370347402e+02	1.798916018050029e+02	-4.140685530485130e-02	2.882353373071854e+00	5.135189468604254e-01	6.281215730650131e+01
4.861961552337069e+00	6.775835230654404e+01	2.910233636360955e+00	1.675244361886263e-03	2.031693848190260e-01	2.217729727824108e+02	2.578046014462535e+02	2.105524839891150e+02	-5.989574347801298e-02	-2.335847113188898e+00	5.308821470216225e-01	6.811048881400164e+01
5.162659474085018e+00	7.338617264916027e+01	3.082967102246664e+00	1.612823892630360e-03	1.618070904699181e-01	2.429959976880753e+02	2.962203227654819e+02	2.462972062545281e+02	-7.965285570751399e-02	-8.650267477703821e+00	5.500035794619542e-01	7.373830915661787e+01
