WARNING: 2 open meshes merged
     Merged: Main Wing
     Merged: Horz Tail
...Mass Properties...
21 Num Comps
21 Total Num Meshes
16312 Total Num Tris

3.525270143430325e+05             Total Mass
1.071134949357679e+02 1.300664493562413e-07 -3.882635284774068e+00       Center of Gravity
2.837036318186080e+08 4.596758273305705e+08 7.165024471132437e+08       Ixx, Iyy, Izz
-5.871781921405172e+03 3.698024200793964e+07 5.755585265506628e+03       Ixy, Ixz, Iyz
8.839850441076839e+04             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.269422440747049e+00	2.134845721581340e+02	4.094592718920589e+00	3.131635948145663e-15	-1.056109545039495e-16	2.092970678095392e+03	1.513290227790172e+03	1.297713612536543e+03	-4.168309224867864e+00	-6.625128910890657e-01	3.976378307896275e+00	2.356862134666989e+02
6.440405205357504e+00	3.184363688652951e+02	4.867736930013535e+00	4.493893002989067e-15	-2.319059442101251e-16	3.773868364244519e+03	2.869982399680170e+03	2.456254776937175e+03	-6.394081158057562e+00	-1.008872948325005e+00	6.009436350668566e+00	3.515526262588882e+02
7.611387969967960e+00	4.439402697467241e+02	5.643379356793482e+00	3.072910571521891e-15	1.229984345471171e-02	6.178527739498562e+03	4.946102596810536e+03	4.211822424570705e+03	-9.021067446884260e+00	9.316291856186485e+00	8.375598889452897e+00	4.901084894532293e+02
8.782370734578414e+00	5.873341656048153e+02	6.409744109748233e+00	2.552382129818837e-15	5.388036765713775e-02	9.330526635645052e+03	7.882793895978623e+03	6.644952164685229e+03	-1.202779096888915e+01	6.678533267239203e+01	1.118037734833519e+01	6.484148439002283e+02
9.953353499188871e+00	7.505670046203174e+02	7.180406045910715e+00	1.632642824213472e-15	1.173987950600623e-01	1.343391083927502e+04	1.196057849809253e+04	9.971743134723092e+03	-1.556775286114302e+01	1.984226611192142e+02	1.427659707371333e+01	8.286233215062070e+02
1.112433626379933e+01	9.355059857893724e+02	7.960076563660322e+00	1.032948349631830e-14	2.006704950821165e-01	1.872964099358347e+04	1.750913070091085e+04	1.444051915213333e+04	-1.951406294588379e+01	4.442965780472930e+02	1.777525391086641e+01	1.032795303366487e+03
1.229531902840978e+01	1.143713285275662e+03	8.749285832997529e+00	1.070562673461459e-14	2.972335329204184e-01	2.547727636753092e+04	2.489237584640675e+04	2.032537089544257e+04	-2.403950480824563e+01	8.352194660743846e+02	2.182047234328445e+01	1.262655426446938e+03
1.346630179302024e+01	1.375268151900232e+03	9.543493129937916e+00	5.658433755238253e-15	3.946357067801957e-01	3.384960879031389e+04	3.441600324977816e+04	2.787573083486989e+04	-2.916699052557424e+01	1.359892353075439e+03	2.623268597551825e+01	1.518291181166027e+03
1.463728455763069e+01	1.632006442589972e+03	1.034482042261725e+01	-1.989005122289435e-15	4.914703654887374e-01	4.416345681059957e+04	4.652348900485165e+04	3.745589915223420e+04	-3.474838148759991e+01	2.037357446058779e+03	3.113384726481166e+01	1.801729347085337e+03
1.580826732224115e+01	1.916758405858643e+03	1.115646534673853e+01	-4.801490324722382e-15	5.805363093506618e-01	5.680682282117702e+04	6.165743000040426e+04	4.960188254286860e+04	-4.105283071196458e+01	2.830510870470466e+03	3.660460165756248e+01	2.116094508565404e+03
1.697925008685160e+01	2.230747375528793e+03	1.197605173344263e+01	6.202995567744405e-15	6.637625797188008e-01	7.213526363523515e+04	8.030995767971144e+04	6.475178497323061e+04	-4.800974767974406e+01	3.758289031302680e+03	4.254959441598386e+01	2.462737221824541e+03
1.815023285146206e+01	2.575087806812026e+03	1.280166248868580e+01	2.903897188667273e-14	7.421537984220969e-01	9.052731666091361e+04	1.030154144038174e+05	8.337745167941198e+04	-5.564403145349718e+01	4.836765339705876e+03	4.924464573546039e+01	2.842887841479223e+03
1.932121561607251e+01	2.947827620178131e+03	1.362603125411130e+01	4.556040311623994e-14	8.063683549388423e-01	1.120526371199532e+05	1.301315178061205e+05	1.056793285611903e+05	-6.397985315324779e+01	5.913519186176391e+03	5.641283317894734e+01	3.254391278624389e+03
2.049219838068297e+01	3.345939933499559e+03	1.444299322376408e+01	5.179701088485613e-14	8.498082170026630e-01	1.366248362901972e+05	1.619421521355131e+05	1.317394216350116e+05	-7.288272575910996e+01	6.791349524111729e+03	6.400710899927269e+01	3.693905866084554e+03
2.166318114529343e+01	3.777243426523986e+03	1.526742837903691e+01	5.455044880959820e-14	8.786551735263388e-01	1.645151322114929e+05	1.994625568616443e+05	1.621896595179646e+05	-8.199846888370146e+01	7.486889725903169e+03	7.264284852701122e+01	4.158372703893666e+03
2.283416390990388e+01	4.214221921981258e+03	1.605203364402206e+01	5.611111089593547e-14	9.007412992436070e-01	1.930897847577668e+05	2.398150801068719e+05	1.955116863641187e+05	-9.123205836214203e+01	8.116754019202084e+03	8.139801893810085e+01	4.629104724340057e+03
2.400514667451434e+01	4.655298853753735e+03	1.680556951867426e+01	5.644739249426155e-14	9.187490435352933e-01	2.221372847684701e+05	2.831601279938995e+05	2.319774335256268e+05	-1.006507498479916e+02	8.718906608299805e+03	9.022916613899164e+01	5.104361403999525e+03
2.517612943912479e+01	6.582639628991090e+03	1.925639811563999e+01	3.808815152428850e-14	-1.078609816892907e+00	3.506387169844527e+05	4.901373948411183e+05	3.456078742833154e+05	-1.370780128273103e+02	-6.911862553871868e+04	1.214343907745858e+02	5.583522803172812e+03
2.634711220373525e+01	8.513052778812258e+03	2.086428286308919e+01	2.677060406738274e-14	-2.170100310654422e+00	4.508076145844568e+05	6.480949586863781e+05	4.390201385830108e+05	-1.736230194729423e+02	-1.200702711811348e+05	1.527400020910684e+02	6.066076093032579e+03
2.751809496834570e+01	1.044633475603084e+04	2.209569036852701e+01	1.918802083417976e-14	-2.857020106828393e+00	5.385781996050209e+05	7.881300121519016e+05	5.273645372114778e+05	-2.103630543177168e+02	-1.589860281883290e+05	1.841436486836192e+02	6.551796558204130e+03
2.868907773295616e+01	1.238228201346044e+04	2.312655448319191e+01	1.382281768491383e-14	-3.328460223010651e+00	6.199398213386701e+05	9.227876676503092e+05	6.171796770114483e+05	-2.471018127261944e+02	-1.914631016186932e+05	2.156366018641003e+02	7.040459483312767e+03
2.986006049756661e+01	1.431885799604884e+04	2.403723786518033e+01	9.942464569069328e-15	-3.672209694360473e+00	6.973744465109555e+05	1.058393346302188e+06	7.119736401468053e+05	-2.840489617259972e+02	-2.201295664203944e+05	2.471482171591112e+02	7.529816518775564e+03
3.103104326217707e+01	1.476211759877104e+04	2.424723967427375e+01	8.604963841550276e-15	-3.531918392326078e+00	7.369838488991193e+05	1.107197576973461e+06	7.450926119638054e+05	-2.940435550578273e+02	-2.060819057324558e+05	2.556645035073786e+02	8.019173554238350e+03
3.220202602678752e+01	1.520537720149324e+04	2.447913365438560e+01	7.372420931424606e-15	-3.399806494982681e+00	7.760458075060195e+05	1.161655543616115e+06	7.844122374150608e+05	-3.039985059199578e+02	-1.905696507451806e+05	2.641982446955171e+02	8.508530589701137e+03
3.337300879139798e+01	1.564863680421544e+04	2.473105946806621e+01	6.181551712966048e-15	-3.275178938654283e+00	8.146071188208767e+05	1.222450709961166e+06	8.305698683809367e+05	-3.139909214972173e+02	-1.737172532807879e+05	2.727080117279759e+02	8.997887625163923e+03
3.454399155600844e+01	1.609189640693765e+04	2.500136175369166e+01	5.060619510369386e-15	-3.157417243217527e+00	8.527092125881155e+05	1.290224781293398e+06	8.841658428059043e+05	-3.239844493320321e+02	-1.556354609878784e+05	2.812261457408751e+02	9.487244660626709e+03
