WARNING: 2 open meshes merged
     Merged: MainWing
     Merged: HorzTail
...Mass Properties...
26 Num Comps
26 Total Num Meshes
59520 Total Num Tris

2.597653153196767e+03             Total Mass
9.378922609375275e+00 2.135307446674635e-03 -6.316986384256700e-01       Center of Gravity
3.758748869713051e+04 1.086185813258229e+05 1.267245473522419e+05       Ixx, Iyy, Izz
-3.896720937915323e+00 2.667743321282810e+03 2.699802864163755e+01       Ixy, Ixz, Iyz
4.182718188838870e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-5.506007495011921e-01	1.864792734253650e+00	-5.506007495011915e-01	-9.509380432470491e-03	-1.207114571271392e-02	1.437393104292481e+00	3.997680512945545e-01	1.107880799528398e+00	-4.289639758884340e-03	-6.531133797222908e-04	8.190989647551047e-03	6.748652492543284e-01
-2.499022485035763e-01	3.733635091112304e+00	-4.000884252930880e-01	-9.874590564095415e-03	-1.204630938286453e-02	2.875262633868816e+00	8.840232949973272e-01	2.300700076470262e+00	-8.781923240729628e-03	-1.294157631544204e-03	1.635303689657856e-02	1.414690097985086e+00
5.079625249403941e-02	5.871175667010469e+00	-2.359331779486490e-01	-5.748701877730291e-03	-8.807269506766647e-03	4.705546614832798e+00	1.612194775537554e+00	4.036034694867472e+00	-4.736566133287172e-03	3.676825773268297e-03	2.275994059585056e-02	2.451907867345721e+00
3.514947534916552e-01	9.446839320943862e+00	-1.358953131758626e-02	-2.138126979218745e-03	-4.196146337657215e-03	8.825320614742409e+00	3.637015935338107e+00	7.799378754968942e+00	2.333906901824998e-03	1.869193933940040e-02	3.145021052389337e-02	3.730711792074230e+00
6.521932544892709e-01	1.436407790815960e+01	2.143271387259356e-01	-4.626433734187313e-04	-1.919483742248040e-03	1.574015581900186e+01	7.428130897378502e+00	1.397533851125196e+01	3.438341496739212e-03	3.150946679343769e-02	4.126392657588081e-02	5.489317917468820e+00
9.528917554868866e-01	2.050330598072971e+01	4.354727741121200e-01	3.369042586581907e-04	-7.561174685559275e-04	2.580964481345067e+01	1.343546904344697e+01	2.296096322328220e+01	9.935286778648656e-04	4.211176360189557e-02	5.358063592847515e-02	7.684957584351359e+00
1.253590256484503e+00	7.575540498341957e+01	1.032165619220166e+00	9.118360733308908e-05	-2.046442470813342e-04	8.697324692651699e+01	4.758482517084933e+01	7.207480906841899e+01	-8.724449868002414e-02	3.584390270299592e-02	1.852078971201386e-01	1.065545738965394e+01
1.554288757482118e+00	1.320296477823105e+02	1.254707182778026e+00	5.231893909662693e-05	-1.174198982998795e-04	1.517059105503249e+02	8.209859157994730e+01	1.220184908694269e+02	-1.773955055589918e-01	2.315796084142707e-02	3.190912061109295e-01	1.399151772433695e+01
1.854987258479734e+00	1.900069036697779e+02	1.437872061953089e+00	1.330050699646363e-04	1.635018300621850e-02	2.327771001495119e+02	1.366494416208009e+02	1.797564932333092e+02	-2.628228789243061e-01	1.311810302725217e+00	5.306876324055435e-01	1.790588812990253e+01
2.155685759477350e+00	2.497725047467345e+02	1.609630627361674e+00	2.665000670053803e-04	4.054447164960125e-02	3.333800287606770e+02	2.176316589167460e+02	2.484810129863441e+02	-3.409043822939759e-01	4.594739910029866e+00	8.377650790564311e-01	2.242144279470847e+01
2.456384260474965e+00	3.102574547387555e+02	1.774705955519516e+00	3.543410998157650e-04	5.640727981433207e-02	4.384810341681124e+02	3.130785211209587e+02	3.302393855135118e+02	-4.186990320825530e-01	7.932659136315796e+00	1.154057830744254e+00	2.719078232944940e+01
2.757082761472581e+00	3.708123921252641e+02	1.935131462427454e+00	3.819973787888802e-04	6.173549242478260e-02	5.385872230712467e+02	4.160775290319651e+02	4.274200564290595e+02	-5.057572414735946e-01	9.539270425004565e+00	1.425342245112963e+00	3.200468122342200e+01
3.057781262470197e+00	4.378435519845939e+02	2.107002254795203e+00	3.559233486966276e-04	9.598123967084067e-02	6.684326562310806e+02	5.707226628550416e+02	5.482427724031608e+02	-6.125717511670243e-01	2.377753920914119e+01	1.661527174208537e+00	3.702417103345442e+01
3.358479763467813e+00	5.053475508363741e+02	2.274173810625716e+00	3.372649768995188e-04	1.223615215444758e-01	8.007435565062543e+02	7.473216651068168e+02	6.897016339568190e+02	-7.197265176091701e-01	3.821494754459537e+01	1.903741150983183e+00	4.213903913198517e+01
3.659178264465429e+00	5.670658988611967e+02	2.424914997972138e+00	3.719808583642846e-04	1.204460185134802e-01	9.105103612734748e+02	9.148510939833204e+02	8.452743474296838e+02	-7.955082517141404e-01	3.685686810960766e+01	2.218087963332746e+00	4.735430076566729e+01
3.959876765463044e+00	6.293069858474763e+02	2.576729122142941e+00	4.047398516681797e-04	1.190161485998206e-01	1.024080761793259e+03	1.112119472884742e+03	1.028206749804275e+03	-8.630634814198112e-01	3.559466727012249e+01	2.536007182277907e+00	5.275104469469696e+01
4.260575266460660e+00	6.436058463361015e+02	2.614138790248000e+00	4.574295272874548e-04	1.206418991588048e-01	1.081751198123464e+03	1.188309475955220e+03	1.089508659315051e+03	-8.334323063130842e-01	3.731309671522867e+01	2.671914261499652e+00	5.782111363089427e+01
4.561273767458276e+00	6.575624770579709e+02	2.655466336740843e+00	4.689476046006719e-04	1.141595661009187e-01	1.127155352564937e+03	1.263122127747961e+03	1.164208301249650e+03	-8.452234928786992e-01	2.918523558585120e+01	2.709828844573223e+00	6.281189879705004e+01
4.861972268455891e+00	6.723769327409328e+02	2.704082198986944e+00	4.787722918158518e-04	1.058752882727638e-01	1.178314445413061e+03	1.360866025393703e+03	1.259256645280584e+03	-8.587834512028365e-01	1.716085564497438e+01	2.750250937183953e+00	6.811015554143069e+01
5.162670769453507e+00	6.881126253488167e+02	2.760304963355654e+00	4.875198176219626e-04	9.576646188793370e-02	1.236431851394412e+03	1.486286034097871e+03	1.378430387942097e+03	-8.729893640895741e-01	4.452975625540240e-01	2.794742102792809e+00	7.373788438084438e+01
